Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering
portalservidor,portalservidor,,0,1,1,0,1,1,1,1,1,0,220,178,3001,0
governodabahia,governodabahia,,2,0,2,2,0,2,0,0,0,0,220,178,3000,0
liviario,liviario,,0,2,2,0,2,2,1,1,1,0,76,0,3002,1
lucimargianott3,lucimargianott3,,0,1,1,0,1,1,1,1,1,0,5,0,3003,0
GustavoOrnelasS,GustavoOrnelasS,,0,2,2,0,2,2,1,1,1,0,76,0,3004,1
Palmeiras,Palmeiras,,4,0,4,4,0,4,0,0,0,0,5,0,131,0.25
VOAPortugues,VOAPortugues,,1,0,1,1,0,1,0,0,0,0,8,0,658,0
michelAAnews,michelAAnews,,0,1,1,0,1,1,1,1,1,0,25,0,3005,0
carlosrafer,carlosrafer,,0,2,2,0,2,2,1,1,1,0,76,0,3006,1
NesiaLasinha,NesiaLasinha,,0,1,1,0,1,1,1,1,1,0,213,0,3007,0
luksgf,luksgf,,0,2,2,0,2,2,1,1,1,0,76,0,3008,1
marciafmm,marciafmm,,0,2,2,0,2,2,1,1,1,0,76,0,3009,1
MiticaEscorpia,MiticaEscorpia,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,3010,0
Ademirl87226461,Ademirl87226461,,0,2,2,0,5,5,2,0.666667,0.75,0,5,0,3011,0.5
RafaelGilardino,RafaelGilardino,,0,2,2,0,2,2,1,1,1,0,76,0,3012,1
claus_2019,claus_2019,,0,1,1,0,1,1,1,1,1,0,4,0,3013,0
Zanon2910,Zanon2910,,0,1,1,0,3,3,2,0.545455,0.583333,0,10,0,3014,0
PimMaiden,PimMaiden,,0,1,1,0,1,1,1,1,1,0,25,0,3015,0
opropriophill,opropriophill,,0,1,1,0,1,1,1,1,1,0,25,0,3016,0
EstelaB73310044,EstelaB73310044,,0,1,1,0,1,1,1,1,1,0,25,0,3017,0
VeroInstituto,VeroInstituto,,0,1,1,0,1,1,1,1,1,0,102,0,3018,0
boni_lima10,boni_lima10,,0,1,1,0,1,1,1,1,1,0,4,0,3019,0
Observoaqueda,Observoaqueda,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,3020,0
LookingCritical,LookingCritical,,0,3,3,0,3,3,2,0.8,0.875,0,5,0,3021,0.333333
kkkgimenez,kkkgimenez,,0,1,1,0,1,1,2,0.571429,0.625,0,5,0,3022,0
filomenaadan,filomenaadan,,0,1,1,0,1,1,1,1,1,0,25,0,3023,0
DaniJuicebox,DaniJuicebox,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,3024,0
LeniltonMendes,LeniltonMendes,,0,2,2,0,2,2,1,1,1,0,4,0,3025,0
alexruts,alexruts,,0,1,1,0,1,1,1,1,1,0,221,179,3027,0
EnelClientesBR,EnelClientesBR,,1,0,1,1,0,1,0,0,0,0,221,179,3026,0
martinswil,martinswil,,0,1,1,0,1,1,1,1,1,0,25,0,3028,0
facguska,facguska,,0,1,1,0,1,1,1,1,1,0,4,0,3029,0
Mcfcoach,Mcfcoach,,0,1,1,0,1,1,1,1,1,0,25,0,3030,0
viovica2000,viovica2000,,0,1,1,0,2,2,1,1,1,0,0,0,3031,0
MargotMHorowicz,MargotMHorowicz,,0,2,2,0,2,2,1,1,1,0,45,0,3032,0.5
FelipeVeigaTen,FelipeVeigaTen,,0,1,1,0,1,1,1,1,1,0,4,0,3033,0
thais_comteaga,thais_comteaga,,0,1,1,0,1,1,1,1,1,0,213,0,3034,0
vitorsarno,vitorsarno,,0,1,1,0,1,1,1,1,1,0,5,0,3035,0
Solutio66869775,Solutio66869775,,0,1,1,0,1,1,1,1,1,0,4,0,3036,0
lcrudo,lcrudo,,0,1,1,0,1,1,1,1,1,0,62,0,3037,0
MarcoguchiMarco,MarcoguchiMarco,,0,1,1,0,1,1,1,1,1,0,4,0,3038,0
raquelita77bo,raquelita77bo,,0,2,2,0,2,2,2,0.583333,0.642857,0,4,0,3039,0
rafael_milanesi,rafael_milanesi,,0,1,1,0,1,1,1,1,1,0,4,0,3040,0
carlinibh,carlinibh,,0,1,1,0,1,1,1,1,1,0,4,0,3041,0
tthaizera,tthaizera,,0,1,1,0,1,1,1,1,1,0,4,0,3042,0
larrybroche,larrybroche,,0,1,1,0,1,1,1,1,1,0,4,0,3043,0
FEEICOMPETE2020,FEEICOMPETE2020,,0,1,1,0,1,1,1,1,1,0,31,0,3044,0
blush0101,blush0101,,0,1,1,0,1,1,1,1,1,0,10,0,3045,0
freireec,freireec,,0,1,1,0,1,1,1,1,1,0,213,0,3046,0
AcademiaMedica,AcademiaMedica,,1,0,1,2,0,2,0,0,0,0,0,0,126,0
NachoDomingue,NachoDomingue,,0,1,1,0,1,1,1,1,1,0,25,0,3047,0
Rosi_2808,Rosi_2808,,0,1,1,0,1,1,1,1,1,0,25,0,3048,0
HeraldoMoreira,HeraldoMoreira,,0,1,1,0,1,1,1,1,1,0,213,0,3049,0
mbnetto2,mbnetto2,,0,2,2,0,2,2,1,1,1,0,19,0,3050,0
JuhFBatist,JuhFBatist,,0,1,1,0,1,1,1,1,1,0,222,180,3052,0
AGazetaES,AGazetaES,,1,0,1,1,0,1,0,0,0,0,222,180,3051,0
uolconfere,uolconfere,,0,1,1,0,1,1,1,1,1,0,102,0,3053,0
AlexandreBonora,AlexandreBonora,,0,1,1,0,1,1,1,1,1,0,25,0,3054,0
jaezerdantas,jaezerdantas,,0,1,1,0,1,1,1,1,1,0,76,0,3055,0
RoseCereja10,RoseCereja10,,0,1,1,0,1,1,1,1,1,0,25,0,3056,0
canalriasbaixas,canalriasbaixas,,1,0,1,1,0,1,0,0,0,0,0,0,125,0
AnaReginaAlves9,AnaReginaAlves9,,0,1,1,0,1,1,1,1,1,0,25,0,3057,0
MarcioMattosSP,MarcioMattosSP,,0,1,1,0,1,1,1,1,1,0,25,0,3058,0
duartesrf,duartesrf,,0,1,1,0,1,1,1,1,1,0,213,0,3059,0
BorgesBrasil50,BorgesBrasil50,,0,1,1,0,1,1,1,1,1,0,25,0,3060,0
tatto352004,tatto352004,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,3061,0
andersonglrt,andersonglrt,,0,1,1,0,1,1,1,1,1,0,0,0,3062,0
VulpesMG,VulpesMG,,0,1,1,0,1,1,1,1,1,0,25,0,3063,0
Joberto14,Joberto14,,0,1,1,0,1,1,1,1,1,0,25,0,3064,0
JosePB1984,JosePB1984,,0,1,1,0,1,1,1,1,1,0,25,0,3065,0
